split,sequence,method,num_frames,psnr,ssim,sharpness,tde
calibration,006,RGB-HF-b0.10-s0.8,4,29.61768393319042,0.8163009434938431,0.0008975055970950052,0.029703916981816292
calibration,010,RGB-HF-b0.10-s0.8,4,31.40459118986124,0.8767203936974207,0.0007105119875632226,0.021862758323550224
calibration,011,RGB-HF-b0.10-s0.8,4,23.54552849970495,0.6453261574109396,0.001906218152726069,0.06463276594877243
calibration,000,RGB-HF-b0.20-s0.3,4,27.214802542423932,0.76910200715065,0.0016216820804402232,0.040728602558374405
calibration,003,RGB-HF-b0.20-s0.3,4,30.332252509451685,0.8965479085842768,0.0018999097810592502,0.02634001523256302
calibration,006,RGB-HF-b0.20-s0.3,4,29.61434632506683,0.8163826316595078,0.000911508293938823,0.029687052592635155
calibration,010,RGB-HF-b0.20-s0.3,4,31.4059781230378,0.8766073137521744,0.0007228946487884969,0.021827438846230507
calibration,011,RGB-HF-b0.20-s0.3,4,23.544954432552064,0.6460969001054764,0.001954164239577949,0.0645982027053833
calibration,000,RGB-HF-b0.20-s0.4,4,27.21672078918759,0.7690935730934143,0.0016214613860938698,0.04073337838053703
calibration,003,RGB-HF-b0.20-s0.4,4,30.33739434550599,0.8967085083325704,0.0018994684214703739,0.02633180283010006
calibration,006,RGB-HF-b0.20-s0.4,4,29.61641827146991,0.8164271215597788,0.0009110840474022552,0.029689937829971313
calibration,010,RGB-HF-b0.20-s0.4,4,31.40686193733944,0.876699964205424,0.0007221855048555881,0.02183561772108078
calibration,011,RGB-HF-b0.20-s0.4,4,23.545672540924475,0.6459463387727737,0.001953811355633661,0.06460510939359665
calibration,000,RGB-HF-b0.20-s0.5,4,27.218534191136563,0.7690054327249527,0.001597364986082539,0.040744464844465256
calibration,003,RGB-HF-b0.20-s0.5,4,30.343661515279628,0.8969161262114843,0.0018710818549152464,0.026319870725274086
calibration,006,RGB-HF-b0.20-s0.5,4,29.618471905996266,0.8164362162351608,0.0009018109267344698,0.029696187004446983
